task,lang,variant,N,steps,dt,alpha,avg_ns
sort,tenge,,100000,,,,121529000
sort,c,,100000,,,,39146000
sort,rust,,100000,,,,37197200
sort,go,,100000,,,,40746800
fib_iter,tenge,,90,,,,44
fib_iter,c,,90,,,,32227600
fib_iter,rust,,90,,,,35563200
fib_iter,go,,90,,,,36337000
fib_iter_fixed,c,,,,,,64584000
fib_iter_fixed,rust,,,,,,67439600
fib_iter_fixed,go,,,,,,143653200
fib_rec,tenge,,35,,,,28790400
fib_rec,c,,35,,,,61251200
fib_rec,rust,,35,,,,65170800
fib_rec,go,,35,,,,77386000
var_mc_sort,tenge,sort,1000000,,,0.99,207654600
var_mc_zig,tenge,zig,1000000,,,0.99,139273600
var_mc_qsel,tenge,qsel,1000000,,,0.99,83526800
var_mc,c,,1000000,,,0.99,176501200
var_mc,rust,,1000000,,,0.99,102237000
var_mc,go,,1000000,,,0.99,178072400
nbody,tenge,,4096,10,0.001,,411906400
nbody,c,,4096,10,0.001,,401704600
nbody,rust,,4096,10,0.001,,497001800
nbody,go,,4096,10,0.001,,974483800
nbody_sym,tenge,,4096,10,0.001,,99115400
nbody_sym,c,,4096,10,0.001,,486468800
nbody_sym,rust,,4096,10,0.001,,531292400
nbody_sym,go,,4096,10,0.001,,578945600
