task,lang,variant,N,steps,dt,alpha,avg_ns
sort,tenge,,100000,,,,69671400
sort,c,,100000,,,,64117000
sort,rust,,100000,,,,61124800
sort,go,,100000,,,,93281800
fib_iter,tenge,,90,,,,77
fib_iter,c,,90,,,,51079800
fib_iter,rust,,90,,,,51061200
fib_iter,go,,90,,,,55450800
fib_iter_fixed,c,,,,,,52785400
fib_iter_fixed,rust,,,,,,50863400
fib_iter_fixed,go,,,,,,177022800
fib_rec,tenge,,35,,,,55279200
fib_rec,c,,35,,,,105480000
fib_rec,rust,,35,,,,112336400
fib_rec,go,,35,,,,115259600
var_mc_sort,tenge,sort,1000000,,,0.99,334502400
var_mc_zig,tenge,zig,1000000,,,0.99,212110600
var_mc_qsel,tenge,qsel,1000000,,,0.99,120758600
var_mc,c,,1000000,,,0.99,287971800
var_mc,rust,,1000000,,,0.99,166805200
var_mc,go,,1000000,,,0.99,329221800
nbody,tenge,,4096,10,0.001,,854919400
nbody,c,,4096,10,0.001,,721997600
nbody,rust,,4096,10,0.001,,1001290000
nbody,go,,4096,10,0.001,,1643625200
nbody_sym,tenge,,4096,10,0.001,,154456200
nbody_sym,c,,4096,10,0.001,,818021800
nbody_sym,rust,,4096,10,0.001,,922475800
nbody_sym,go,,4096,10,0.001,,925910800
